Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2017,Government Payments,Direct government payments received by the farm operation during that year,All Farms,TOTAL,,4253,Dollars per farm,KOUNT,,2.1
2017,Government Payments,Direct government payments received by the farm operation during that year,Collapsed Farm Typology,Intermediate farms,"Farms with less than $350,000 in gross cash farm income and a principal operator whose primary occupation is farming",2494,Dollars per farm,KOUNT,,4.7
2017,Government Payments,Direct government payments received by the farm operation during that year,Collapsed Farm Typology,Residence farms,"Farms with less than $350,000 in gross cash farm income and the principal operator is either retired or has a primary occupation other than farming",1322,Dollars per farm,KOUNT,,5.4
2017,Government Payments,Direct government payments received by the farm operation during that year,Collapsed Farm Typology,Commercial farms,"Farms with $350,000 or more gross cash farm income as well as nonfamily farms",25010,Dollars per farm,KOUNT,,3.3
2017,Government Payments,Direct government payments received by the farm operation during that year,Economic Class,"$1,000,000 or more","Farms with total sales equal to or greater than $1,000,000",36975,Dollars per farm,KOUNT,,3.6
2017,Government Payments,Direct government payments received by the farm operation during that year,Economic Class,"Less than $100,000","Farms with total sales up to $100,000.",1206,Dollars per farm,KOUNT,,3.8
2017,Government Payments,Direct government payments received by the farm operation during that year,Economic Class,"$100,000 to $249,999","Farms with total sales equal to or greater than $100,000, up to $249,999.",7678,Dollars per farm,KOUNT,,6.4
2017,Government Payments,Direct government payments received by the farm operation during that year,Economic Class,"$250,000 to $499,999","Farms with total sales equal to or greater than $250,000, up to $499,999.",13476,Dollars per farm,KOUNT,,5.4
2017,Government Payments,Direct government payments received by the farm operation during that year,Economic Class,"$500,000 to $999,999","Farms with total sales equal to or greater than $500,000, up to $999,999.",20959,Dollars per farm,KOUNT,,4.9
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Basin and Range,Basin and Range region,3165,Dollars per farm,KOUNT,,13.5
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Northern Crescent,Northern Crescent region,2108,Dollars per farm,KOUNT,,9.0
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Northern Great Plains,Northern Great Plains region,16320,Dollars per farm,KOUNT,,8.4
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Prairie Gateway,Prairie Gateway region,5150,Dollars per farm,KOUNT,,6.0
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Mississippi Portal,Mississippi Portal region,12359,Dollars per farm,KOUNT,,11.9
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Fruitful Rim,Fruitful Rim region,2292,Dollars per farm,KOUNT,,8.5
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Southern Seaboard,Southern Seaboard region,2510,Dollars per farm,KOUNT,,7.1
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Heartland,Heartland region,6207,Dollars per farm,KOUNT,,3.5
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Resource Region,Eastern Uplands,Eastern Uplands region,947,Dollars per farm,KOUNT,,11.2
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Typology,Farming occupation/moderate-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income from $150,000 to $349,999",8598,Dollars per farm,KOUNT,,4.8
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Typology,Retirement farms (2011 to present),"Farms where the operator's primary occupation is retired and with gross cash farm income less than $350,000",2104,Dollars per farm,KOUNT,,10.8
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Typology,Nonfamily farms (2011 to present),Farms where the majority of the business is not owned by the operator and individuals related to the operator,10267,Dollars per farm,KOUNT,,13.8
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Typology,Off-farm occupation farms (2011 to present),"Farms where the operator's primary occupation is something other than farming and with gross cash farm income less than $350,000",1114,Dollars per farm,KOUNT,,7.6
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Typology,Farming occupation/lower-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income less than $150,000",1465,Dollars per farm,KOUNT,,6.6
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Typology,Midsize farms (2011 to present),"Farms with gross cash farm income from $350,000 to $999,999",19590,Dollars per farm,KOUNT,,4.1
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Typology,Very large farms (2011 to present),"Farms with gross cash farm income equal to or greater than $5,000,000",49089,Dollars per farm,KOUNT,,17.0
2017,Government Payments,Direct government payments received by the farm operation during that year,Farm Typology,Large farms (2011 to present),"Farms with gross cash farm income from $1,000,000 to $4,999,999",48224,Dollars per farm,KOUNT,,4.9
2017,Government Payments,Direct government payments received by the farm operation during that year,NASS Region,West region,"Includes Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming",3859,Dollars per farm,KOUNT,,4.1
2017,Government Payments,Direct government payments received by the farm operation during that year,NASS Region,South region,"Includes Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, and South Carolina",5097,Dollars per farm,KOUNT,,6.3
2017,Government Payments,Direct government payments received by the farm operation during that year,NASS Region,Midwest region,"Includes Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, and Wisconsin",4622,Dollars per farm,KOUNT,,2.6
2017,Government Payments,Direct government payments received by the farm operation during that year,NASS Region,Plains region,"Includes Kansas, Nebraska, North Dakota, Oklahoma, South Dakota, and Texas",5818,Dollars per farm,KOUNT,,3.8
2017,Government Payments,Direct government payments received by the farm operation during that year,NASS Region,Atlantic region,"Includes Connecticut, Delaware, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia",1591,Dollars per farm,KOUNT,,8.4
2017,Government Payments,Direct government payments received by the farm operation during that year,Operator Age,34 years or younger,Principal operator's age is 34 years or younger,4661,Dollars per farm,KOUNT,,17.6
2017,Government Payments,Direct government payments received by the farm operation during that year,Operator Age,45 to 54 years old,Principal operator's age is 45 to 54,4817,Dollars per farm,KOUNT,,8.0
2017,Government Payments,Direct government payments received by the farm operation during that year,Operator Age,55 to 64 years old,Principal operator's age is 55 to 64,4461,Dollars per farm,KOUNT,,4.3
2017,Government Payments,Direct government payments received by the farm operation during that year,Operator Age,65 years or older,Principal operator's age is 65 or older,3407,Dollars per farm,KOUNT,,4.2
2017,Government Payments,Direct government payments received by the farm operation during that year,Operator Age,35 to 44 years old,Principal operator's age is 35 to 44,5814,Dollars per farm,KOUNT,,8.4
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,"Tobacco, Cotton, Peanuts","Farms where tobacco, cotton, and peanuts are the majority of the value of production",31146,Dollars per farm,KOUNT,,9.9
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Corn,Farms where corn is the majority of the value of production,12827,Dollars per farm,KOUNT,,5.3
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Wheat,Farms where wheat is the majority of the value of production,29767,Dollars per farm,KOUNT,,10.7
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Dairy,Farms where dairy is the majority of the value of production,4549,Dollars per farm,KOUNT,,11.1
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Poultry,Farms where poultry is the majority of the value of production,2065,Dollars per farm,KOUNT,,31.8
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Hogs,Farms where hogs is the majority of the value of production,5024,Dollars per farm,KOUNT,,39.8
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,"Specialty Crops (F,V,N)","Farms where specialty crops (fruit, vegetables, nursery) are the majority of the value of production",1387,Dollars per farm,KOUNT,,25.1
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Soybean,Farms where soybeans is the majority of the value of production,10661,Dollars per farm,KOUNT,,5.4
2017,Government Payments,Direct government payments received by the farm operation during that year,Production Specialty,Other Field Crops,Farms where other field crops is the majority of the value of production,3991,Dollars per farm,KOUNT,,6.0
