Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",All Farms,TOTAL,,18465,Dollars per farm,MEAN,400,2.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Intermediate farms,"Farms with less than $350,000 in gross cash farm income and a principal operator whose primary occupation is farming",9095,Dollars per farm,MEAN,1200,4.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Commercial farms,"Farms with $350,000 or more gross cash farm income as well as nonfamily farms",141650,Dollars per farm,MEAN,84000,2.6
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Residence farms,"Farms with less than $350,000 in gross cash farm income and the principal operator is either retired or has a primary occupation other than farming",2280,Dollars per farm,MEAN,20,4.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$1,000,000 or more","Farms with total sales equal to or greater than $1,000,000",217913,Dollars per farm,MEAN,112000,3.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$250,000 to $499,999","Farms with total sales equal to or greater than $250,000, up to $499,999.",53303,Dollars per farm,MEAN,44000,2.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$100,000 to $249,999","Farms with total sales equal to or greater than $100,000, up to $249,999.",25055,Dollars per farm,MEAN,17050,4.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"Less than $100,000","Farms with total sales up to $100,000.",1973,Dollars per farm,MEAN,75,3.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$500,000 to $999,999","Farms with total sales equal to or greater than $500,000, up to $999,999.",99587,Dollars per farm,MEAN,84285,4.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Basin and Range,Basin and Range region,8410,Dollars per farm,MEAN,0,18.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Southern Seaboard,Southern Seaboard region,10255,Dollars per farm,MEAN,600,6.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Great Plains,Northern Great Plains region,46750,Dollars per farm,MEAN,200,8.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Prairie Gateway,Prairie Gateway region,15253,Dollars per farm,MEAN,150,5.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Mississippi Portal,Mississippi Portal region,26466,Dollars per farm,MEAN,150,14.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Fruitful Rim,Fruitful Rim region,30936,Dollars per farm,MEAN,250,10.6
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Heartland,Heartland region,30017,Dollars per farm,MEAN,1522,2.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Eastern Uplands,Eastern Uplands region,3489,Dollars per farm,MEAN,500,8.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Crescent,Northern Crescent region,11273,Dollars per farm,MEAN,300,3.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/lower-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income less than $150,000",4278,Dollars per farm,MEAN,600,5.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Nonfamily farms (2011 to present),Farms where the majority of the business is not owned by the operator and individuals related to the operator,95186,Dollars per farm,MEAN,5500,16.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Very large farms (2011 to present),"Farms with gross cash farm income equal to or greater than $5,000,000",692919,Dollars per farm,MEAN,374848,14.4
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Midsize farms (2011 to present),"Farms with gross cash farm income from $350,000 to $999,999",88022,Dollars per farm,MEAN,75000,3.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/moderate-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income from $150,000 to $349,999",31148,Dollars per farm,MEAN,21889,4.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Retirement farms (2011 to present),"Farms where the operator's primary occupation is retired and with gross cash farm income less than $350,000",1583,Dollars per farm,MEAN,0,8.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Off-farm occupation farms (2011 to present),"Farms where the operator's primary occupation is something other than farming and with gross cash farm income less than $350,000",2578,Dollars per farm,MEAN,100,4.4
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Large farms (2011 to present),"Farms with gross cash farm income from $1,000,000 to $4,999,999",219796,Dollars per farm,MEAN,167000,2.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Plains region,"Includes Kansas, Nebraska, North Dakota, Oklahoma, South Dakota, and Texas",18951,Dollars per farm,MEAN,200,3.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Midwest region,"Includes Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, and Wisconsin",23428,Dollars per farm,MEAN,850,1.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,South region,"Includes Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, and South Carolina",15790,Dollars per farm,MEAN,500,3.4
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Atlantic region,"Includes Connecticut, Delaware, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia",8121,Dollars per farm,MEAN,600,4.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,West region,"Includes Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming",24292,Dollars per farm,MEAN,40,8.6
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,35 to 44 years old,Principal operator's age is 35 to 44,23755,Dollars per farm,MEAN,500,6.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,45 to 54 years old,Principal operator's age is 45 to 54,22353,Dollars per farm,MEAN,400,8.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,34 years or younger,Principal operator's age is 34 years or younger,26860,Dollars per farm,MEAN,1469,15.4
