Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",All Farms,TOTAL,,4253,Dollars per farm,MEAN,0,2.1
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Residence farms,"Farms with less than $350,000 in gross cash farm income and the principal operator is either retired or has a primary occupation other than farming",1322,Dollars per farm,MEAN,0,5.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Intermediate farms,"Farms with less than $350,000 in gross cash farm income and a principal operator whose primary occupation is farming",2494,Dollars per farm,MEAN,0,4.7
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Commercial farms,"Farms with $350,000 or more gross cash farm income as well as nonfamily farms",25010,Dollars per farm,MEAN,4959,3.3
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$250,000 to $499,999","Farms with total sales equal to or greater than $250,000, up to $499,999.",13476,Dollars per farm,MEAN,3823,5.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"Less than $100,000","Farms with total sales up to $100,000.",1206,Dollars per farm,MEAN,0,3.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$500,000 to $999,999","Farms with total sales equal to or greater than $500,000, up to $999,999.",20959,Dollars per farm,MEAN,6850,4.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$100,000 to $249,999","Farms with total sales equal to or greater than $100,000, up to $249,999.",7678,Dollars per farm,MEAN,1284,6.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$1,000,000 or more","Farms with total sales equal to or greater than $1,000,000",36975,Dollars per farm,MEAN,3500,3.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Crescent,Northern Crescent region,2108,Dollars per farm,MEAN,0,9.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Great Plains,Northern Great Plains region,16320,Dollars per farm,MEAN,3747,8.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Prairie Gateway,Prairie Gateway region,5150,Dollars per farm,MEAN,0,6.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Eastern Uplands,Eastern Uplands region,947,Dollars per farm,MEAN,0,11.2
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Fruitful Rim,Fruitful Rim region,2292,Dollars per farm,MEAN,0,8.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Mississippi Portal,Mississippi Portal region,12359,Dollars per farm,MEAN,0,11.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Basin and Range,Basin and Range region,3165,Dollars per farm,MEAN,0,13.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Southern Seaboard,Southern Seaboard region,2510,Dollars per farm,MEAN,0,7.1
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Heartland,Heartland region,6207,Dollars per farm,MEAN,525,3.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Very large farms (2011 to present),"Farms with gross cash farm income equal to or greater than $5,000,000",49089,Dollars per farm,MEAN,0,17.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Large farms (2011 to present),"Farms with gross cash farm income from $1,000,000 to $4,999,999",48224,Dollars per farm,MEAN,21132,4.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Midsize farms (2011 to present),"Farms with gross cash farm income from $350,000 to $999,999",19590,Dollars per farm,MEAN,7091,4.1
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/lower-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income less than $150,000",1465,Dollars per farm,MEAN,0,6.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Nonfamily farms (2011 to present),Farms where the majority of the business is not owned by the operator and individuals related to the operator,10267,Dollars per farm,MEAN,0,13.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Retirement farms (2011 to present),"Farms where the operator's primary occupation is retired and with gross cash farm income less than $350,000",2104,Dollars per farm,MEAN,0,10.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Off-farm occupation farms (2011 to present),"Farms where the operator's primary occupation is something other than farming and with gross cash farm income less than $350,000",1114,Dollars per farm,MEAN,0,7.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/moderate-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income from $150,000 to $349,999",8598,Dollars per farm,MEAN,960,4.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Atlantic region,"Includes Connecticut, Delaware, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia",1591,Dollars per farm,MEAN,0,8.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Midwest region,"Includes Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, and Wisconsin",4622,Dollars per farm,MEAN,0,2.6
