Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",All Farms,TOTAL,,4165,Dollars per farm,MEAN,0,6.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Residence farms,"Farms with less than $350,000 in gross cash farm income and the principal operator is either retired or has a primary occupation other than farming",1447,Dollars per farm,MEAN,0,10.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Intermediate farms,"Farms with less than $350,000 in gross cash farm income and a principal operator whose primary occupation is farming",2722,Dollars per farm,MEAN,0,15.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Commercial farms,"Farms with $350,000 or more gross cash farm income as well as nonfamily farms",24012,Dollars per farm,MEAN,3750,6.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"Less than $100,000","Farms with total sales up to $100,000.",1251,Dollars per farm,MEAN,0,7.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$250,000 to $499,999","Farms with total sales equal to or greater than $250,000, up to $499,999.",12347,Dollars per farm,MEAN,1800,22.4
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$100,000 to $249,999","Farms with total sales equal to or greater than $100,000, up to $249,999.",6982,Dollars per farm,MEAN,0,12.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$500,000 to $999,999","Farms with total sales equal to or greater than $500,000, up to $999,999.",21171,Dollars per farm,MEAN,5700,11.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$1,000,000 or more","Farms with total sales equal to or greater than $1,000,000",31087,Dollars per farm,MEAN,500,6.7
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Eastern Uplands,Eastern Uplands region,789,Dollars per farm,MEAN,0,42.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Great Plains,Northern Great Plains region,9962,Dollars per farm,MEAN,1748,73.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Prairie Gateway,Prairie Gateway region,6860,Dollars per farm,MEAN,0,22.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Heartland,Heartland region,7362,Dollars per farm,MEAN,0,6.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Southern Seaboard,Southern Seaboard region,1753,Dollars per farm,MEAN,0,12.8
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Crescent,Northern Crescent region,2921,Dollars per farm,MEAN,0,8.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Mississippi Portal,Mississippi Portal region,5099,Dollars per farm,MEAN,0,20.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Fruitful Rim,Fruitful Rim region,1704,Dollars per farm,MEAN,0,14.4
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Basin and Range,Basin and Range region,3743,Dollars per farm,MEAN,0,15.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Retirement farms (2011 to present),"Farms where the operator's primary occupation is retired and with gross cash farm income less than $350,000",2178,Dollars per farm,MEAN,0,17.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Off-farm occupation farms (2011 to present),"Farms where the operator's primary occupation is something other than farming and with gross cash farm income less than $350,000",1156,Dollars per farm,MEAN,0,9.8
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/lower-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income less than $150,000",1481,Dollars per farm,MEAN,0,9.1
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/moderate-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income from $150,000 to $349,999",8574,Dollars per farm,MEAN,400,34.8
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Midsize farms (2011 to present),"Farms with gross cash farm income from $350,000 to $999,999",18153,Dollars per farm,MEAN,4900,13.7
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Very large farms (2011 to present),"Farms with gross cash farm income equal to or greater than $5,000,000",34076,Dollars per farm,MEAN,0,14.7
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Large farms (2011 to present),"Farms with gross cash farm income from $1,000,000 to $4,999,999",41242,Dollars per farm,MEAN,18335,5.8
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Nonfamily farms (2011 to present),Farms where the majority of the business is not owned by the operator and individuals related to the operator,15280,Dollars per farm,MEAN,0,33.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Atlantic region,"Includes Connecticut, Delaware, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia",1097,Dollars per farm,MEAN,0,13.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,South region,"Includes Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, and South Carolina",2716,Dollars per farm,MEAN,0,12.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Midwest region,"Includes Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, and Wisconsin",5743,Dollars per farm,MEAN,0,2.1
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Plains region,"Includes Kansas, Nebraska, North Dakota, Oklahoma, South Dakota, and Texas",6243,Dollars per farm,MEAN,0,17.1
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,West region,"Includes Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming",3196,Dollars per farm,MEAN,0,7.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,35 to 44 years old,Principal operator's age is 35 to 44,5125,Dollars per farm,MEAN,0,19.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,55 to 64 years old,Principal operator's age is 55 to 64,4900,Dollars per farm,MEAN,0,11.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,45 to 54 years old,Principal operator's age is 45 to 54,4529,Dollars per farm,MEAN,0,13.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,34 years or younger,Principal operator's age is 34 years or younger,4593,Dollars per farm,MEAN,0,25.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,65 years or older,Principal operator's age is 65 or older,3050,Dollars per farm,MEAN,0,15.1
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,All other livestock,Farms where all other livestock is the majority of the value of production,481,Dollars per farm,MEAN,0,21.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Dairy,Farms where dairy is the majority of the value of production,5749,Dollars per farm,MEAN,0,22.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Hogs,Farms where hogs is the majority of the value of production,6455,Dollars per farm,MEAN,0,19.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Specialty Crops (F,V,N)","Farms where specialty crops (fruit, vegetables, nursery) are the majority of the value of production",948,Dollars per farm,MEAN,0,30.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Tobacco, Cotton, Peanuts","Farms where tobacco, cotton, and peanuts are the majority of the value of production",14570,Dollars per farm,MEAN,0,16.0
