Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",All Farms,TOTAL,,18100,Dollars per farm,MEAN,195,0.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Residence farms,"Farms with less than $350,000 in gross cash farm income and the principal operator is either retired or has a primary occupation other than farming",2148,Dollars per farm,MEAN,0,3.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Intermediate farms,"Farms with less than $350,000 in gross cash farm income and a principal operator whose primary occupation is farming",6847,Dollars per farm,MEAN,486,4.2
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Commercial farms,"Farms with $350,000 or more gross cash farm income as well as nonfamily farms",136977,Dollars per farm,MEAN,75557,2.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$100,000 to $249,999","Farms with total sales equal to or greater than $100,000, up to $249,999.",24469,Dollars per farm,MEAN,17500,2.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$1,000,000 or more","Farms with total sales equal to or greater than $1,000,000",234696,Dollars per farm,MEAN,121919,1.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"Less than $100,000","Farms with total sales up to $100,000.",1865,Dollars per farm,MEAN,0,2.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$250,000 to $499,999","Farms with total sales equal to or greater than $250,000, up to $499,999.",53477,Dollars per farm,MEAN,44100,2.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$500,000 to $999,999","Farms with total sales equal to or greater than $500,000, up to $999,999.",99681,Dollars per farm,MEAN,85000,2.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Prairie Gateway,Prairie Gateway region,14750,Dollars per farm,MEAN,0,5.7
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Mississippi Portal,Mississippi Portal region,31305,Dollars per farm,MEAN,782,7.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Basin and Range,Basin and Range region,10567,Dollars per farm,MEAN,50,19.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Fruitful Rim,Fruitful Rim region,28188,Dollars per farm,MEAN,0,4.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Southern Seaboard,Southern Seaboard region,10357,Dollars per farm,MEAN,300,5.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Eastern Uplands,Eastern Uplands region,2837,Dollars per farm,MEAN,75,9.1
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Great Plains,Northern Great Plains region,46320,Dollars per farm,MEAN,780,7.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Crescent,Northern Crescent region,12101,Dollars per farm,MEAN,200,5.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Heartland,Heartland region,28771,Dollars per farm,MEAN,1113,3.2
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Midsize farms (2011 to present),"Farms with gross cash farm income from $350,000 to $999,999",84243,Dollars per farm,MEAN,73000,2.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/moderate-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income from $150,000 to $349,999",28333,Dollars per farm,MEAN,18300,3.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/lower-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income less than $150,000",3224,Dollars per farm,MEAN,150,5.3
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Off-farm occupation farms (2011 to present),"Farms where the operator's primary occupation is something other than farming and with gross cash farm income less than $350,000",2329,Dollars per farm,MEAN,0,4.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Nonfamily farms (2011 to present),Farms where the majority of the business is not owned by the operator and individuals related to the operator,88310,Dollars per farm,MEAN,880,11.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Very large farms (2011 to present),"Farms with gross cash farm income equal to or greater than $5,000,000",643643,Dollars per farm,MEAN,326592,9.7
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Large farms (2011 to present),"Farms with gross cash farm income from $1,000,000 to $4,999,999",240467,Dollars per farm,MEAN,194000,2.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Retirement farms (2011 to present),"Farms where the operator's primary occupation is retired and with gross cash farm income less than $350,000",1468,Dollars per farm,MEAN,0,10.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Plains region,"Includes Kansas, Nebraska, North Dakota, Oklahoma, South Dakota, and Texas",17898,Dollars per farm,MEAN,0,2.2
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Midwest region,"Includes Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, and Wisconsin",23424,Dollars per farm,MEAN,650,1.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,South region,"Includes Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, and South Carolina",15004,Dollars per farm,MEAN,400,4.7
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Atlantic region,"Includes Connecticut, Delaware, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia",8097,Dollars per farm,MEAN,231,2.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,West region,"Includes Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming",24180,Dollars per farm,MEAN,0,3.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,65 years or older,Principal operator's age is 65 or older,12037,Dollars per farm,MEAN,183,4.8
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,35 to 44 years old,Principal operator's age is 35 to 44,25171,Dollars per farm,MEAN,328,8.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,34 years or younger,Principal operator's age is 34 years or younger,21946,Dollars per farm,MEAN,2500,12.0
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,45 to 54 years old,Principal operator's age is 45 to 54,23178,Dollars per farm,MEAN,150,6.2
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,55 to 64 years old,Principal operator's age is 55 to 64,20080,Dollars per farm,MEAN,0,3.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Hogs,Farms where hogs is the majority of the value of production,24638,Dollars per farm,MEAN,0,23.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Cattle,Farms where cattle is the majority of the value of production,3463,Dollars per farm,MEAN,0,5.7
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Soybean,Farms where soybeans is the majority of the value of production,45140,Dollars per farm,MEAN,12462,5.5
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Corn,Farms where corn is the majority of the value of production,78789,Dollars per farm,MEAN,35000,4.1
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,General Cash Grains,Farms where sorghum and rice are the majority of the value of production,106044,Dollars per farm,MEAN,51800,4.3
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Dairy,Farms where dairy is the majority of the value of production,29371,Dollars per farm,MEAN,8800,7.6
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Wheat,Farms where wheat is the majority of the value of production,65480,Dollars per farm,MEAN,31850,8.7
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Tobacco, Cotton, Peanuts","Farms where tobacco, cotton, and peanuts are the majority of the value of production",147090,Dollars per farm,MEAN,68650,8.4
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Other Field Crops,Farms where other field crops is the majority of the value of production,6122,Dollars per farm,MEAN,0,8.9
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Specialty Crops (F,V,N)","Farms where specialty crops (fruit, vegetables, nursery) are the majority of the value of production",44024,Dollars per farm,MEAN,1150,7.2
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Poultry,Farms where poultry is the majority of the value of production,3373,Dollars per farm,MEAN,0,19.7
2017,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,All other livestock,Farms where all other livestock is the majority of the value of production,2025,Dollars per farm,MEAN,0,19.6
